"List","Card Name","Labels","Description"
"Backlog","US18-T01 — Alterar schema da tabela imoveis","","User Story: US18 — Localização do imóvel e HSP | Épico: E1 - Recurso solar / consumo | Prioridade: Must | Dependências: US01 | Task: Adicionar os campos cidade, UF e HSP manual opcional ao schema da tabela de imóveis e criar a migração necessária."
"Backlog","US26-T01 — Definir regras de compatibilidade","","User Story: US26 — Seleção do inversor e validação de compatibilidade | Épico: E4 - Equipamentos / compatibilidade | Prioridade: Must | Dependências: US23, US25 | Task: Documentar e implementar os parâmetros de compatibilidade, incluindo razão CC/CA e temperatura mínima de projeto."
"Backlog","US26-T02 — Implementar filtro por potência","","User Story: US26 — Seleção do inversor e validação de compatibilidade | Épico: E4 - Equipamentos / compatibilidade | Prioridade: Must | Dependências: US23, US25 | Task: Filtrar inversores pela razão entre potência instalada e potência CA e pelo limite máximo de potência CC do inversor."
"Backlog","US26-T03 — Validar tensão, corrente e strings","","User Story: US26 — Seleção do inversor e validação de compatibilidade | Épico: E4 - Equipamentos / compatibilidade | Prioridade: Must | Dependências: US23, US25 | Task: Validar tensão de circuito aberto, faixa MPPT, corrente máxima por MPPT e possibilidade de distribuir os módulos em strings e MPPTs."
"Backlog","US26-T04 — Implementar escolha e relatório de compatibilidade","","User Story: US26 — Seleção do inversor e validação de compatibilidade | Épico: E4 - Equipamentos / compatibilidade | Prioridade: Must | Dependências: US23, US25 | Task: Selecionar o inversor válido pelo critério definido e apresentar aprovado/reprovado com o motivo de cada verificação."
"Backlog","US26-T05 — Escrever testes de combinações válidas e inválidas","","User Story: US26 — Seleção do inversor e validação de compatibilidade | Épico: E4 - Equipamentos / compatibilidade | Prioridade: Must | Dependências: US23, US25 | Task: Testar combinações compatíveis e incompatíveis, incluindo casos de tensão, corrente, strings e potência fora do limite."
"Backlog","US27-T01 — Criar opção de baterias e campo de autonomia","","User Story: US27 — Opção de armazenamento e dimensionamento da capacidade | Épico: E5 - Baterias | Prioridade: Must | Dependências: US19, US24 | Task: Adicionar controle para incluir ou não armazenamento e campo de autonomia em horas, com validação de 0 a 24 horas."
"Backlog","US27-T02 — Implementar cálculos de E_d, E_autonomia e C_bat","","User Story: US27 — Opção de armazenamento e dimensionamento da capacidade | Épico: E5 - Baterias | Prioridade: Must | Dependências: US19, US24 | Task: Implementar os cálculos de consumo diário, energia para autonomia e capacidade nominal necessária considerando DoD e eficiência."
"Backlog","US27-T03 — Documentar decisão sobre DoD","","User Story: US27 — Opção de armazenamento e dimensionamento da capacidade | Épico: E5 - Baterias | Prioridade: Must | Dependências: US19, US24 | Task: Registrar a regra de cálculo usada para não aplicar o DoD duas vezes ao determinar a quantidade de baterias."
"Backlog","US27-T04 — Escrever testes com e sem armazenamento","","User Story: US27 — Opção de armazenamento e dimensionamento da capacidade | Épico: E5 - Baterias | Prioridade: Must | Dependências: US19, US24 | Task: Testar o cenário sem baterias, o cenário com baterias e o caso de referência de 12 horas de autonomia."
"Backlog","US28-T01 — Implementar seleção da bateria e N_bat","","User Story: US28 — Seleção de baterias e compatibilidade com o inversor | Épico: E5 - Baterias | Prioridade: Must | Dependências: US26, US27 | Task: Selecionar um único modelo de bateria, calcular a quantidade necessária e comparar o custo total das alternativas que atendem à capacidade exigida."
"Backlog","US28-T02 — Aplicar regra de inversor híbrido","","User Story: US28 — Seleção de baterias e compatibilidade com o inversor | Épico: E5 - Baterias | Prioridade: Must | Dependências: US26, US27 | Task: Garantir que soluções com armazenamento usem apenas inversores híbridos compatíveis e rejeitar soluções sem inversor adequado."
"Backlog","US28-T03 — Validar tensão e corrente do banco","","User Story: US28 — Seleção de baterias e compatibilidade com o inversor | Épico: E5 - Baterias | Prioridade: Must | Dependências: US26, US27 | Task: Verificar tensão do banco e limites de corrente de carga e descarga em relação às especificações do inversor."
"Backlog","US28-T04 — Incluir compatibilidade no relatório","","User Story: US28 — Seleção de baterias e compatibilidade com o inversor | Épico: E5 - Baterias | Prioridade: Must | Dependências: US26, US27 | Task: Apresentar no resultado a bateria escolhida, quantidade, capacidade nominal/útil e os resultados das verificações de compatibilidade."
"Backlog","US28-T05 — Testar cenários com inversor on-grid e híbrido","","User Story: US28 — Seleção de baterias e compatibilidade com o inversor | Épico: E5 - Baterias | Prioridade: Must | Dependências: US26, US27 | Task: Testar falha com inversor on-grid e cenários válidos e inválidos com inversores híbridos."
"Backlog","US29-T01 — Calcular custo dos equipamentos","","User Story: US29 — Estimativa de orçamento | Épico: E6 - Orçamento | Prioridade: Must | Dependências: US25, US26, US28 | Task: Calcular custos de módulos, inversor e baterias a partir das quantidades e preços presentes nos datasets."
"Backlog","US29-T02 — Definir regras para outros custos","","User Story: US29 — Estimativa de orçamento | Épico: E6 - Orçamento | Prioridade: Must | Dependências: US25, US26, US28 | Task: Definir e documentar como calcular estrutura, cabeamento, conectores, proteções e instalação, mantendo os parâmetros em configuração."
"Backlog","US29-T03 — Montar saída detalhada por item","","User Story: US29 — Estimativa de orçamento | Épico: E6 - Orçamento | Prioridade: Must | Dependências: US25, US26, US28 | Task: Criar a estrutura do orçamento com ID, quantidade, preço unitário, subtotal, custos por categoria e custo total."
"Backlog","US29-T04 — Testar cenários com e sem baterias","","User Story: US29 — Estimativa de orçamento | Épico: E6 - Orçamento | Prioridade: Must | Dependências: US25, US26, US28 | Task: Conferir manualmente os totais dos cenários com e sem armazenamento e verificar a separação entre equipamentos, outros custos e total."
"Backlog","US30-T01 — Criar layout da seção fotovoltaica","","User Story: US30 — Interface e endpoint integrados ao projeto do imóvel | Épico: E7 - Integração / proposta | Prioridade: Must | Dependências: US07, US18, US19, US20, US21 | Task: Criar a seção do sistema fotovoltaico dentro do projeto do imóvel, reaproveitando os dados de consumo, localização e HSP."
"Backlog","US30-T02 — Implementar endpoint dimensionar_fv com autenticação","","User Story: US30 — Interface e endpoint integrados ao projeto do imóvel | Épico: E7 - Integração / proposta | Prioridade: Must | Dependências: US07, US18, US19, US20, US21 | Task: Integrar autenticação, autorização e validação de entrada ao endpoint de dimensionamento, retornando HTTP 422 em erros."
"Backlog","US30-T03 — Integrar script.js ao endpoint","","User Story: US30 — Interface e endpoint integrados ao projeto do imóvel | Épico: E7 - Integração / proposta | Prioridade: Must | Dependências: US07, US18, US19, US20, US21 | Task: Conectar a interface ao endpoint e renderizar parâmetros, resultados, equipamentos e mensagens de erro."
"Backlog","US30-T04 — Executar testes de regressão","","User Story: US30 — Interface e endpoint integrados ao projeto do imóvel | Épico: E7 - Integração / proposta | Prioridade: Must | Dependências: US07, US18, US19, US20, US21 | Task: Testar o fluxo completo da nova funcionalidade e verificar que as US01 a US17 continuam funcionando sem regressões."
"Backlog","US31-T01 — Montar tela de resumo","","User Story: US31 — Proposta preliminar ao cliente | Épico: E7 - Integração / proposta | Prioridade: Must | Dependências: US29, US30, US09 | Task: Criar a tela da proposta com consumo, percentual, energia pretendida, HSP, potências, módulos, inversor, baterias e custos."
"Backlog","US31-T02 — Implementar estimativa de geração e cobertura","","User Story: US31 — Proposta preliminar ao cliente | Épico: E7 - Integração / proposta | Prioridade: Must | Dependências: US29, US30, US09 | Task: Calcular a geração estimada por P_instalada × HSP × D × η e apresentar também o percentual de cobertura do consumo."
"Backlog","US31-T03 — Incluir aviso de limitações","","User Story: US31 — Proposta preliminar ao cliente | Épico: E7 - Integração / proposta | Prioridade: Must | Dependências: US29, US30, US09 | Task: Exibir claramente que o resultado é um pré-dimensionamento acadêmico e não substitui projeto elétrico ou profissional habilitado."
"Backlog","US31-T04 — Adaptar exportação PDF/CSV","","User Story: US31 — Proposta preliminar ao cliente | Épico: E7 - Integração / proposta | Prioridade: Must | Dependências: US29, US30, US09 | Task: Reaproveitar a exportação existente para gerar a proposta em PDF e CSV com os dados completos do dimensionamento."
"Backlog","US31-T05 — Escrever testes da proposta e exportações","","User Story: US31 — Proposta preliminar ao cliente | Épico: E7 - Integração / proposta | Prioridade: Must | Dependências: US29, US30, US09 | Task: Validar conteúdo obrigatório da proposta, cálculos de geração e funcionamento das exportações PDF e CSV."
"Backlog","US32-T01 — Criar tabela propostas_fv","","User Story: US32 — Salvar a proposta no projeto | Épico: E7 - Integração / proposta | Prioridade: Could | Dependências: US31, US06 | Task: Criar a tabela para armazenar parâmetros, equipamentos, resultados e preços usados na proposta, vinculada ao imóvel."
"Backlog","US32-T02 — Criar endpoints de salvar/carregar proposta","","User Story: US32 — Salvar a proposta no projeto | Épico: E7 - Integração / proposta | Prioridade: Could | Dependências: US31, US06 | Task: Implementar endpoints para persistir e recuperar propostas respeitando autenticação e propriedade do imóvel."
"Backlog","US32-T03 — Adicionar salvar e abrir na interface","","User Story: US32 — Salvar a proposta no projeto | Épico: E7 - Integração / proposta | Prioridade: Could | Dependências: US31, US06 | Task: Adicionar ações para salvar a proposta atual e abrir uma proposta salva sem refazer o dimensionamento."
"Backlog","US32-T04 — Escrever testes de persistência e permissão","","User Story: US32 — Salvar a proposta no projeto | Épico: E7 - Integração / proposta | Prioridade: Could | Dependências: US31, US06 | Task: Testar gravação, leitura, preservação dos preços históricos, exclusão com o imóvel e bloqueio de acesso de outros usuários."
"Backlog","US33-T01 — Atualizar documento de User Stories e backlog","","User Story: US33 — Modelagem da Sprint, Kanban e dependências | Épico: E8 - Gestão / documentação | Prioridade: Must | Dependências: Nenhuma | Task: Atualizar a documentação e o backlog com as US18 a US34, critérios de aceite, tasks e dependências."
"Backlog","US33-T02 — Criar cartões no Trello","","User Story: US33 — Modelagem da Sprint, Kanban e dependências | Épico: E8 - Gestão / documentação | Prioridade: Must | Dependências: Nenhuma | Task: Criar um cartão separado para cada Task no formato USXX-TYY e organizar os cartões conforme as regras do Kanban."
"Backlog","US33-T03 — Atribuir responsáveis e atualizar Kanban","","User Story: US33 — Modelagem da Sprint, Kanban e dependências | Épico: E8 - Gestão / documentação | Prioridade: Must | Dependências: Nenhuma | Task: Definir responsáveis, acompanhar os status e manter o quadro coerente com o andamento real do desenvolvimento."
"Backlog","US33-T04 — Fazer revisão final Kanban x backlog x repositório","","User Story: US33 — Modelagem da Sprint, Kanban e dependências | Épico: E8 - Gestão / documentação | Prioridade: Must | Dependências: Nenhuma | Task: Conferir no final da Sprint se o Trello, backlog, commits e código refletem o mesmo estado das Tasks."
"Backlog","US34-T01 — Definir imóvel e parâmetros dos cenários","","User Story: US34 — Cenários, evidências e documentação | Épico: E8 - Gestão / documentação | Prioridade: Must | Dependências: US31 | Task: Selecionar o imóvel de teste e registrar os parâmetros de um cenário sem baterias e outro com baterias."
"Backlog","US34-T02 — Executar cenários e coletar evidências","","User Story: US34 — Cenários, evidências e documentação | Épico: E8 - Gestão / documentação | Prioridade: Must | Dependências: US31 | Task: Executar os dois cenários no sistema e guardar entradas, saídas, imagens de tela e demais evidências solicitadas."
"Backlog","US34-T03 — Conferir manualmente os cálculos","","User Story: US34 — Cenários, evidências e documentação | Épico: E8 - Gestão / documentação | Prioridade: Must | Dependências: US31 | Task: Recalcular os resultados principais fora do sistema e comparar com as saídas para comprovar a consistência."
"Backlog","US34-T04 — Criar arquivo de fontes e premissas","","User Story: US34 — Cenários, evidências e documentação | Épico: E8 - Gestão / documentação | Prioridade: Must | Dependências: US31 | Task: Registrar origem e data de consulta do HSP, fatores técnicos, dados dos equipamentos e preços usados nos cenários."
"Backlog","US34-T05 — Atualizar README","","User Story: US34 — Cenários, evidências e documentação | Épico: E8 - Gestão / documentação | Prioridade: Must | Dependências: US31 | Task: Documentar as novas tabelas, datasets, como executar o sistema e como reproduzir os cenários de validação."
